image,quality,mse,compression_ratio,png_size_bytes,jpg_size_bytes,score
image4,10,87.52666134304471,45.53846153846154,531024,11661,0.2595035960481431
image4,20,47.818773905436196,29.965803284239037,531024,17721,0.29674125654652594
image4,30,34.08497958713107,22.84760347646502,531024,23242,0.32010795939318376
image4,40,26.81371561686198,18.99906976744186,531024,27950,0.3329627812202669
image4,50,22.52188449435764,16.409381663113006,531024,32361,0.3424763509248959
image4,60,19.247801038953995,14.208,531024,37375,0.3511010862403443
image4,70,15.429356892903646,11.802369257440047,531024,44993,0.3601803803566628
image4,80,11.45672861735026,9.270023043083583,531024,57284,0.36980537918522793
image4,90,6.678792317708333,6.061087522257225,531024,87612,0.38236992182974955
image4,100,1.31658935546875,1.8768874059831477,531024,282928,0.4
image5,1,342.5486017862956,61.099503722084364,492462,8060,0.600000000000005
image5,10,96.7938215467665,38.86221590909091,492462,12672,0.317136906767045
image5,20,56.0374501546224,26.950254473813825,492462,18273,0.32581282810794815
image5,30,41.40843285454644,21.42536436806613,492462,22985,0.33737047139725096
image5,40,33.82035573323568,18.346011995678577,492462,26843,0.3448090715792862
image5,50,28.822898864746094,16.14417781274587,492462,30504,0.35088274747302545
image5,60,24.504227532280815,14.238355451470206,492462,34587,0.35615210728204566
image5,70,19.771289401584202,11.980294847467523,492462,41106,0.3630720531777322
image5,80,14.480982462565104,9.48318890814558,492462,51930,0.37062528800200417
image5,90,8.22345225016276,6.264304067977714,492462,78614,0.38135218883956035
image5,100,2.139918009440104,1.9188824812967582,492462,256640,0.4
image6,1,362.89605119493274,71.30383631713555,557596,7820,0.600000000000004
image6,10,84.28260040283203,47.911668671593056,557596,11638,0.2714595885196366
image6,20,42.76911163330078,33.94387289218969,557596,16427,0.2830522483468053
image6,30,29.839373270670574,27.041513094083413,557596,20620,0.3014028539189697
image6,40,23.80163065592448,23.019279197456964,557596,24223,0.3145873190905354
image6,50,20.209400600857204,20.090653599481154,557596,27754,0.32552486192527225
image6,60,17.375013563368057,17.628149600075876,557596,31631,0.3350312790710647
image6,70,14.12829335530599,14.746535491378399,557596,37812,0.3462722638962005
image6,80,10.827071295844185,11.43622454211703,557596,48757,0.3598986700172727
image6,90,7.062704298231337,7.210697151133469,557596,77329,0.3780405579738855
image6,100,2.349451700846354,2.0508372963768036,557596,271887,0.4
image7,1,549.6907518174913,10.55976200505476,200551,18992,0.6000000000000404
image7,10,219.11801401774088,6.92223526163192,200551,28972,0.39014591168386603
image7,20,114.11633724636502,5.126559304703476,200551,39120,0.35006581802594816
image7,30,71.75461154513889,4.257440665732603,200551,47106,0.33990125975522045
image7,40,53.18858930799696,3.7703226049029928,200551,53192,0.3398549504496322
image7,50,41.29758877224393,3.4022257281965156,200551,58947,0.3421544510845489
image7,60,31.669591267903645,3.081749312353059,200551,65077,0.34494750072842695
image7,70,21.713083055284287,2.7037546343107515,200551,74175,0.34976949605979607
image7,80,11.924928453233507,2.3011106776510544,200551,87154,0.35579843513145554
image7,90,3.6069378323025174,1.7626673229211527,200551,113777,0.3690691003131981
image7,100,0.026518079969618056,0.9233556478420611,200551,217198,0.4
image8,1,469.6045608520508,10.307632195884345,79142,7678,0.6000000000000393
image8,10,162.87657589382596,6.528790628609141,79142,12122,0.3434594352975565
image8,20,107.35783979627821,4.771326942786519,79142,16587,0.3407213703341121
image8,30,85.40319569905598,3.7710010959165197,79142,20987,0.3520678099131599
image8,40,76.09897104899089,3.3783829932553573,79142,23426,0.3556017407226566
image8,50,65.49009026421442,2.96968105065666,79142,26650,0.35804492035127056
image8,60,57.77502017550998,2.6618458226826314,79142,29732,0.36025379435095506
image8,70,47.92579311794705,2.2889949385394073,79142,34575,0.36225395197179344
image8,80,38.16686503092448,1.8658085201688002,79142,42417,0.3664238500026805
image8,90,27.550723605685764,1.2925785588292937,79142,61228,0.3755545099292695
image8,100,21.128311157226562,0.48094850322690424,79142,164554,0.4
